gene_short_name	q_value	estimate	total_transcripts
GJB1	1.75e-10	-1.283473	1625
GSTA4	4.28e-109	-1.2853891	74539
CFTR	2.18e-25	-1.291242	6799
SEMA4F	1.42e-22	-1.2971516	1815
2210016F16RIK	5.59e-18	-1.3003231	1800
NA	8.13e-13	-1.3074016	4798
OASL2	9.24e-11	-1.3086259	1588
CREG1	4.67e-93	-1.3104379	10312
NPB	3.76e-09	-1.3270857	1026
CYM	5.1e-05	-1.3286697	7569
BVHT	5.76e-16	-1.3330332	1212
CXCL2	1.44e-08	-1.3476011	12684
DOK2	1.11e-18	-1.3490709	1841
WT1	3.05e-31	-1.350259	2384
NA	1.19e-131	-1.3504155	12223
TNNT2	3.22e-95	-1.3609736	23703
FST	0.002558381	-1.3810636	1331
CD302	1.45e-16	-1.4189861	1366
APOL9B	3.86e-14	-1.425749	1456
NAPRT	1.14e-22	-1.431846	1559
CXCL3	1.14e-09	-1.4713823	9073
CFI	6.64e-06	-1.4744995	1543
WNT10A	1.01e-61	-1.4942588	6964
RAB38	5.22e-15	-1.4956938	1162
AA467197	3.17e-37	-1.5013913	14926
FAS	2.91e-22	-1.5208942	1416
CYBB	1.51e-17	-1.5368898	1950
LGALS2	6.64e-222	-1.5696849	286163
BACE2	3.5e-38	-1.5771278	3245
EPHA4	4.29e-37	-1.6162055	2652
CYBA	2.05e-242	-1.6164356	40970
LAMB3	2.39e-27	-1.6230159	2280
JAM2	2.28e-17	-1.6253364	1690
ALDH1A3	3.73e-65	-1.6452258	15061
DDAH1	6.99e-65	-1.6631853	6229
MAL	7.73e-23	-1.6846456	4127
FKBP10	6.86e-49	-1.7102933	2770
MGST1	2.64e-36	-1.7146144	5886
GPX2	0.03274995	-1.7300636	1881
PTGS1	1.71e-61	-1.7943337	4010
TMEM176B	6.75e-144	-1.8112515	33119
TENM1	2.82e-33	-1.8185463	2025
CES2G	6.58e-14	-1.8648612	1818
SNHG18	4.72e-31	-1.8948823	2776
TMEM176A	7.24e-136	-1.9471437	17017
SERINC2	5.51e-08	-1.9702998	1271
PSMB8	5.41e-22	-2.0103862	1076
MT3	1.16e-23	-2.0232395	1675
C3	3.51e-43	-2.0247344	12457
LBP	9.54e-24	-2.028595	3509
ADD2	4.4e-31	-2.041674	1813
SPATS2L	1.04e-33	-2.0546378	1386
NEBL	8.08e-48	-2.0575232	1637
AW112010	1.86e-114	-2.0599762	32235
FABP5	4.77e-42	-2.0681349	4689
SPARC	1.6e-70	-2.0818656	12809
ACOT1	1.49e-19	-2.0899262	1385
FAM189A2	9.36e-28	-2.1035477	1138
SHF	6.13e-23	-2.1217433	1112
ABCG2	1.55e-49	-2.1586284	2175
DCLK1	2.15e-61	-2.1811491	3332
DBN1	1.67e-16	-2.1884249	1028
TMEM45B	7.19e-19	-2.2301672	1350
CSF2	5.38e-31	-2.255664	11894
EPCAM	2.87e-12	-2.2605768	5569
SLURP1	8.61e-15	-2.2742315	2989
HAVCR2	5.2e-37	-2.3407986	1194
TRF	7.6e-43	-2.3996294	22670
GLOD5	1.51e-14	-2.3997231	2889
VIL1	1.53e-51	-2.4237655	2156
AMOTL1	2.28e-46	-2.4501758	1703
FSCN1	1.6e-26	-2.5108146	1475
TIMP3	6.85e-17	-2.5767986	2301
MCPT8	1.5e-32	-2.6514262	3754
MMP13	1.07e-25	-2.7205506	5284
PDLIM4	8.63e-36	-2.7441862	1968
VCAN	1.12e-54	-2.899755	1794
CAR8	3.69e-43	-2.9445876	2333
DSC2	6.45e-40	-2.950659	1227
MAGED2	6.9e-64	-3.0297763	2200
XDH	3.37e-54	-3.0824523	1483
DYNLT3	2.71e-177	-3.0871026	5867
MYO1B	4.08e-57	-3.0895627	1140
GABRP	6.01e-27	-3.1096447	1394
GM30692	1.01e-42	-3.1135635	1082
CCL2	3.75e-23	-3.3815944	2611
GM3776	8.16e-30	-3.406248	1336
TFF2	4.91e-05	-3.4075934	19768
NTPCR	1.1e-47	-3.4655641	1291
TFF1	6.23e-17	-3.4706635	28928
SPINK4	2.19e-19	-3.491608	3550
KRT14	2.38e-36	-3.5358296	2848
LYPD8L	1e-27	-3.5923232	23636
EHD3	4.9e-64	-3.6795832	1509
ENPP2	3.12e-57	-3.71927	1544
GSTA1	7.28e-90	-3.7446365	14162
PRDX4	1.89e-225	-3.8198429	9122
GKN3	1.56e-05	-3.8786876	1901
PDPN	1.71e-37	-3.9115359	1324
TNIP3	5.3e-211	-3.996956	8186
HTATIP2	6.83e-85	-4.1179536	1498
MCPT4	1.27e-13	-4.1646234	1662
GKN1	1.78e-05	-4.1841723	8263
MCPT2	3.3e-49	-4.2262214	9386
MCPT1	2.45e-39	-4.9534937	5314
TM4SF5	2.49e-156	-5.6991266	10065
